Date,Close,CompanyName
2018/9/5,694.400024,British Airways
2018/9/6,681.200012,British Airways
2018/9/6,681.200012,British Airways
2017/9/6,141.389999,Equifax
2017/9/7,142.720001,Equifax
2017/9/8,123.230003,Equifax
2015/11/23,48.509281,Hilton
2015/11/24,48.1194,Hilton
2015/11/24,48.1194,Hilton
2021/7/26,289.049988,LinkedIn
2021/7/27,286.540009,LinkedIn
2021/7/29,286.5,LinkedIn
2022/9/21,2.67,Optus
2022/9/22,2.68,Optus
2022/9/22,2.68,Optus
2019/7/30,10.84,Pearson
2019/7/31,10.54,Pearson
2019/7/31,10.54,Pearson
2013/12/18,63.549999,Target
2013/12/19,62.150002,Target
2013/12/20,62.490002,Target
2022/7/20,39.599998,Twitter
2022/7/21,39.52,Twitter
2022/8/5,42.52,Twitter
2021/8/14,144.940002,T-Mobile
2021/8/16,140.729996,T-Mobile
2021/8/27,138.380005,T-Mobile
